241,1
433,1
73,4
464,3
491,2
153,9
283,9
391
279,2
409,3
108,4
83,1
211,2
79,3
457,2
175,3
355,5
187,7
436,1
256,4
426,6
101,7
229,9
69,7
334,9
268,7
376,1
209
266,9
290,9
256,6
328,2
368,9
413,6
321,7
289,7
306,4
97,9
96,3
78
155,2
472,1
172,3
265,2
88,8
61,2
421,7
106,6
346,3
115,3
414,2
171,6
370,1
74,8
475,9
155,3
59,3
367,3
420,1
380,9
320,6
362,1
338,4
135,5
152,2
234,2
257,7
269,4
159,4
161
405,7
419,9
191,8
420,5
172,2
369,3
309,7
142,1
471,4
263,9
287,6
478,4
366,8
367
54,2
438,2
331,3
194,2
313,5
271,2
177,7
338,7
283,7
480
375,5
85,4
114,7
337,3
50,4
467,1
469,7
493,6
299,8
426,6
239,6
300,4
376,9
382,3
469,4
115,1
86,7
143,9
490,5
169,6
363
291,6
455,9
495,3
118,9
273,9
121,1
288,5
179,9
248,9
296,7
302
467,6
121,9
356,2
437,9
392
264,3
365
417,7
430,4
458,3
205,2
112,4
228,6
302
424,7
274,6
253,3
337
330
78,9
488,5
141,5
354,6
348
437,2
410,1
259,2
401,7
469,9
76,8
495
440,7
79,2
99,6
228,1
369,4
83,9
252,4
330
287,6
81,4
59,5
499,1
495,8
200,7
436
353
297,5
102,2
70,9
102,6
69,3
86,5
346,9
145,2
294,2
435,8
419,1
171,6
210,4
80,4
164,2
82,4
383,9
363,3
317
134,8
421,5
460,6
405,5
109,5
421,5
412
72
326,8
262,5
441,7
460,9
190,5
61,1
65
202,8
120,9
292,3
214,7
172,6
297,7
437
86
365,3
352,9
373,4
342,6
54,2
315
80,6
490,3
113,6
345,8
70,1
106,7
454,1
82,1
186,4
405,1
476,4
488,3
161,4
170,1
143,7
228,2
362,9
69,5
410,4
464,2
246
415,5
250,7
346,6
94,5
392,6
190,9
427,2
325,9
325,3
148,1
309,9
83,6
412,9
234,8
347,1
106,5
182,7
260,7
482,8
191,1
112,2
122,3
279,3
147,2
469,3
375,1
227
433,6
228,6
437
366,3
492,3
486,2
274,2
314,7
267
336,9
128,8
474,9
453
196,4
57,3
100,6
83,1
103,4
193,1
313,4
216,1
185,6
318,6
78,5
160,4
304,5
469,3
374,6
282,8
86,6
356,9
273,7
138,3
406,7
305,7
219,1
481,6
150,8
232,7
478,1
356,4
328,8
426,2
371,5
86,5
342,3
480,9
482,4
469,6
189,2
227,5
91,8
72,9
313,4
366,1
222,2
244,3
251,2
54,9
403,9
292,5
469
320,4
286,5
337
52,8
437,5
57,2
378,6
485,9
127,2
452,9
489
96,3
181
463,1
241,2
410
135,7
197
295,9
84,6
375,9
50,2
414,8
487,6
471
294,6
66,8
418,8
437,2
140,9
322,4
411,5
180,2
391,9
240,1
297,6
467,4
120,8
133
143,1
122,3
135,5
495,1
154,8
344
111,2
146,5
383,9
233,1
459,2
402,3
192,1
427,2
276,6
382,4
402,4
77,1
270,1
324
283,6
317,1
211,3
484,2
288,7
440,9
173,8
59,8
281,5
171,7
261,9
320,2
483,1
169,2
136,6
330,2
449,6
137,7
463,7
232,5
425,3
381
479,2
446,2
319,4
151,2
277,4
320,8
344,6
93,1
485,8
123
361,9
356,1
383,6
141,3
437,8
113,4
95,4
160,4
256,4
479
423,5
467,5
488,9
469,2
253,4
241,4
443,8
164,9
92,9
331,2
109,7
68,1
347
124,6
174,9
332
483,3
200,5
138,7
340,2
87,3
260,1
438,1
317,8
232,1
80,1
440,4
111,8
332,1
410,6
395,4
233,4
89,2
260,6
325,6
55,4
365,2
441,8
142,8
245,5
372,4
392,5
376,5
103,7
474,9
295,7
173
80,9
440,8
198,9
227,8
172,2
449,3
323,1
195,1
156,8
372,2
50,7
269,5
477,6
91,8
386
462,1
175,7
163,5
214,8
473,1
257,7
386,1
75
131,9
244
61,7
425,8
79,8
110,4
326,2
323
65,1
484,1
453,8
471
466,3
202,8
190,5
362,3
293
279,9
104,6
288,7
358,5
450,3
122,8
488,3
177,6
430,2
54,8
171,9
408,2
185,8
217,2
257,1
103,3
441,8
175,4
299,8
445,1
392,6
76,5
188,4
185
468,7
246,1
486,7
435,7
254,9
215,5
487,3
472
395,3
400,4
293,1
344,5
386
253,4
226,1
163,6
180,9
479
296,3
243,7
221,4
265,8
435,3
324,9
164,3
385,7
256,7
373,2
326,8
200,5
490,1
127,2
311,4
328,6
316,8
484,2
469,9
144,5
86,8
273,9
468,6
283,1
150,3
118,3
120,5
354,3
330,6
204,6
396,9
371,1
172,5
313,7
211,9
138,1
342,2
366,3
390
409,4
96,3
247,4
334,4
411,3
431,8
190
402,9
340,6
193,2
431,1
61,2
409,8
229,1
119,5
52,5
232,9
483
238,5
277,1
393,1
208,5
360,3
413,4
305,3
348,9
242
56,1
249,6
99,8
401,9
275,8
454,7
58,6
103,1
258,4
307,9
181,6
70,6
474,8
231,7
403,4
177,2
313,2
402
163,9
340,6
440,8
171,7
52,2
305,3
485,7
106,8
481,3
437,7
71,1
396,3
235,3
394,1
123
263,1
80,7
290,7
299,7
163,2
397,7
180,6
226,5
364,2
420
104
85,9
124,6
388,6
277,1
186,7
249,3
367
100,1
206,5
486
59,1
467,7
105,3
387,4
276,4
423,1
248,3
453,1
89,6
129,4
400,4
152,7
346,5
